Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167512,Pillsbury Golden Layer Buttermilk Biscuits Artificial Flavor Refrigerated Dough,Baked Foods,307,13.24,5.88,41.18,5.88,1.2,0,2.941,NULL,2.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.98,35.5,NULL,NULL,NULL,4.412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,1 serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,65.147
167513,Pillsbury Cinnamon Rolls With Icing Refrigerated Dough,Baked Foods,330,11.27,4.34,53.42,21.34,1.4,0,3.25,28,1.93,NULL,NULL,1,0,0.1,NULL,NULL,NULL,NULL,52.02,27.86,NULL,NULL,NULL,4.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,780,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,1 serving 1 roll with icing,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,60.606
167514,Kraft Foods Shake N Bake Original Recipe Coating For Pork Dry,Baked Foods,377,3.7,6.1,79.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.8,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,1 serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,53.05
167515,George Weston Bakeries Thomas English Muffins,Baked Foods,232,1.8,8,46,NULL,NULL,NULL,0.308,180,1.4,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,46,42.6,79,841,NULL,0.082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,303,920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,1 serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,86.207
167516,Waffles Buttermilk Frozen Ready-To-Heat,Baked Foods,273,9.22,6.58,41.05,4.3,2.2,15,1.898,279,6.04,126,19,1340,401,0,2.86,NULL,0.62,NULL,38.85,40.34,21,1414,10.795,NULL,NULL,NULL,2.67,0,0,1.35,0.29,0,35.51,NULL,388,621,0.48,0.04,0.215,9.5,NULL,NULL,NULL,0.499,0.665,6.675,0.24,0.972,NULL,63,49,14,96,NULL,NULL,401,2,0,0,63,NULL,NULL,NULL,10.5,17.9,NULL,4530,1445,NULL,12,0,7,74,225,281,489,296,133,154,304,154,326,282,143,249,406,1614,214,559,347,NULL,0,0,0,39,"1 waffle, square",38,"1 waffle, round",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,73.26
167517,Waffle Buttermilk Frozen Ready-To-Heat Toasted,Baked Foods,309,9.49,7.42,48.39,4.41,2.6,13,2.275,299,6.59,138,22,1463,438,0,1.62,0,0.68,NULL,45.79,31.57,24,1399,12.686,NULL,NULL,NULL,2.85,0.05,0,1.35,0.17,0,39.7,NULL,444,710,0.48,0.037,0.223,10.3,NULL,NULL,NULL,0.563,0.648,7.942,0.217,1.11,NULL,68,55,13,107,28.1,NULL,437,2,0,0,66,NULL,NULL,0,12.5,16.9,NULL,5292,1502,NULL,13,0,8,82,250,312,544,329,148,172,337,172,362,314,159,276,451,1793,237,621,385,NULL,0,0,0,28,1 oz,33,1 waffle round (4 inch dia),33,1 waffle square (4 inch square),NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,64.725
167518,Waffle Buttermilk Frozen Ready-To-Heat Microwaved,Baked Foods,289,9.4,6.92,44.16,4.5,2.4,16,2.057,125,6.53,110,20,1430,429,0,2.44,NULL,0.63,NULL,41.76,36.48,123,1487,14.089,NULL,NULL,NULL,2.77,0,0,1.39,0.34,0,38.55,NULL,410,663,0.58,0.063,0.235,10.1,NULL,NULL,NULL,0.576,0.695,6.73,0.24,1.105,NULL,64,50,14,99,NULL,NULL,429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.8,20.8,NULL,4864,1615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,1 waffle,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,69.204
167519,Waffle Plain Frozen Ready-To-Heat Microwave,Baked Foods,298,9.91,6.71,45.41,5.04,2.4,16,1.58,197,5.81,148,25,NULL,NULL,NULL,2.18,NULL,0.95,NULL,43.01,34.95,371,1863,12.117,NULL,NULL,NULL,3.31,0,0,1.46,0.28,0,38.63,NULL,410,682,0.45,0.038,0.154,12.8,NULL,NULL,NULL,0.544,0.655,7.785,0.325,1.016,NULL,67,56,11,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.1,23,NULL,5195,2240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,"1 waffle, round (4 inchdia)",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,67.114
167520,Pie Crust Cookie-Type Graham Cracker Ready Crust,Baked Foods,501,24.83,5.1,64.3,18.13,1.9,0,4.999,29,2.6,113,23,1,0,0,0,0,1.85,NULL,62.4,4.37,60,1611,3.462,NULL,NULL,NULL,18.13,0,0,0,0,NULL,35.87,NULL,117,471,1.25,0.223,1.287,2.6,NULL,NULL,NULL,0.184,0.213,3.22,0.178,0.076,NULL,65,46,19,97,17.7,38.8,0,0,0,0,23,NULL,NULL,0,21.8,NULL,NULL,16928,1671,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,28.4,1 oz,183,1 crust,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,39.92
167521,Pie Crust Cookie-Type Chocolate Ready Crust,Baked Foods,484,22.42,6.08,64.48,26.31,2.7,0,4.725,32,4.3,187,40,0,0,0,0,0,1.79,NULL,61.78,4.99,63,1972,2.006,0,NULL,NULL,19.47,0,0,0,0,NULL,34.67,NULL,120,503,2.1,0.77,1.833,2.5,NULL,NULL,NULL,0.336,0.265,3.073,0.168,0.043,NULL,72,50,22,108,16.4,21.3,0,0,0,0,12,NULL,NULL,0,18.2,64.1,0.6,14482,2035,NULL,0,0,0,80,205,225,382,245,73,108,277,164,316,290,112,238,454,1318,243,419,260,NULL,0,8,100,182,1 crust,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,41.322
